model_version,factor_type,enrollment_status,medicaid_status,dual_status,orec,institutional_status,variable,description,coefficient
CMS-HCC-2020,Disease,Continuing,No,Non,Aged,No,HCC1,HIV/AIDS,0.335
CMS-HCC-2020,Disease,Continuing,No,Non,Disabled,No,HCC1,HIV/AIDS,0.287
CMS-HCC-2020,Disease,Continuing,Yes,Full,Aged,No,HCC1,HIV/AIDS,0.595
CMS-HCC-2020,Disease,Continuing,Yes,Full,Disabled,No,HCC1,HIV/AIDS,0.396
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Aged,No,HCC1,HIV/AIDS,0.482
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Disabled,No,HCC1,HIV/AIDS,0.2
CMS-HCC-2020,Disease,Continuing,Institutional,,,Yes,HCC1,HIV/AIDS,1.722
CMS-HCC-2020,Disease,Continuing,No,Non,Aged,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.352
CMS-HCC-2020,Disease,Continuing,No,Non,Disabled,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.414
CMS-HCC-2020,Disease,Continuing,Yes,Full,Aged,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.453
CMS-HCC-2020,Disease,Continuing,Yes,Full,Disabled,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.53
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Aged,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.316
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Disabled,No,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.297
CMS-HCC-2020,Disease,Continuing,Institutional,,,Yes,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.324
CMS-HCC-2020,Disease,Continuing,No,Non,Aged,No,HCC6,Opportunistic Infections,0.424
CMS-HCC-2020,Disease,Continuing,No,Non,Disabled,No,HCC6,Opportunistic Infections,0.74
CMS-HCC-2020,Disease,Continuing,Yes,Full,Aged,No,HCC6,Opportunistic Infections,0.572
CMS-HCC-2020,Disease,Continuing,Yes,Full,Disabled,No,HCC6,Opportunistic Infections,0.803
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Aged,No,HCC6,Opportunistic Infections,0.318
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Disabled,No,HCC6,Opportunistic Infections,0.658
CMS-HCC-2020,Disease,Continuing,Institutional,,,Yes,HCC6,Opportunistic Infections,0.534
CMS-HCC-2020,Disease,Continuing,No,Non,Aged,No,HCC8,Metastatic Cancer and Acute Leukemia,2.659
CMS-HCC-2020,Disease,Continuing,No,Non,Disabled,No,HCC8,Metastatic Cancer and Acute Leukemia,2.714
CMS-HCC-2020,Disease,Continuing,Yes,Full,Aged,No,HCC8,Metastatic Cancer and Acute Leukemia,2.566
CMS-HCC-2020,Disease,Continuing,Yes,Full,Disabled,No,HCC8,Metastatic Cancer and Acute Leukemia,2.801
CMS-HCC-2020,Disease,Continuing,Yes,Partial,Aged,No,HCC8,Metastatic Cancer and Acute Leukemia,2.455
