model_version,hcc,label,hccs_to_exclude
CMS-HCC-2020,8,Metastatic Cancer and Acute Leukemia,"9, 10, 11, 12"
CMS-HCC-2020,9,Lung and Other Severe Cancers,"10, 11, 12"
CMS-HCC-2020,10,Lymphoma and Other Cancers,"11, 12"
CMS-HCC-2020,11,"Colorectal, Bladder, and Other Cancers",12
CMS-HCC-2020,17,Diabetes with Acute Complications,"18, 19"
CMS-HCC-2020,18,Diabetes with Chronic Complications,19
CMS-HCC-2020,27,End-Stage Liver Disease,"28, 29, 80"
CMS-HCC-2020,28,Cirrhosis of Liver,29
CMS-HCC-2020,46,Severe Hematological Disorders,48
CMS-HCC-2020,51,Dementia With Complications,52
CMS-HCC-2020,54,Substance Use with Psychotic Complications,"55, 56"
CMS-HCC-2020,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",56
CMS-HCC-2020,57,Schizophrenia,"58, 59, 60"
CMS-HCC-2020,58,Reactive and Unspecified Psychosis,"59, 60"
CMS-HCC-2020,59,"Major Depressive, Bipolar, and Paranoid Disorders",60
CMS-HCC-2020,70,Quadriplegia,"71, 72, 103, 104, 169"
CMS-HCC-2020,71,Paraplegia,"72, 104, 169"
CMS-HCC-2020,72,Spinal Cord Disorders/Injuries,169
CMS-HCC-2020,82,Respirator Dependence/Tracheostomy Status,"83, 84"
CMS-HCC-2020,83,Respiratory Arrest,84
CMS-HCC-2020,86,Acute Myocardial Infarction,"87, 88"
CMS-HCC-2020,87,Unstable Angina and Other Acute Ischemic Heart Disease,88
CMS-HCC-2020,99,Intracranial Hemorrhage,100
CMS-HCC-2020,103,Hemiplegia/Hemiparesis,104
CMS-HCC-2020,106,Atherosclerosis of the Extremities with Ulceration or Gangrene,"107, 108, 161, 189"
CMS-HCC-2020,107,Vascular Disease with Complications,108
CMS-HCC-2020,110,Cystic Fibrosis,"111, 112"
CMS-HCC-2020,111,Chronic Obstructive Pulmonary Disease,112
CMS-HCC-2020,114,Aspiration and Specified Bacterial Pneumonias,115
CMS-HCC-2020,134,Dialysis Status,"135, 136, 137, 138"
CMS-HCC-2020,135,Acute Renal Failure,"136, 137, 138"
CMS-HCC-2020,136,"Chronic Kidney Disease, Stage 5","137, 138"
CMS-HCC-2020,137,"Chronic Kidney Disease, Severe (Stage 4)",138
CMS-HCC-2020,157,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone","158, 159, 161"
CMS-HCC-2020,158,Pressure Ulcer of Skin with Full Thickness Skin Loss,"159, 161"
CMS-HCC-2020,159,Pressure Ulcer of Skin with Partial Thickness Skin Loss,161
CMS-HCC-2020,166,Severe Head Injury,"80, 167"
