model_version,factor_type,gender,enrollment_status,medicaid_status,orec,variable,label,factor_1,factor_2,coefficient
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,,Continuing,Yes,Aged,Medicaid,,Medicaid,Aged,0.061
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0.25
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0.173
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0.136
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Female,Continuing,Yes,Disabled,"Originally Disabled, Female",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0.147
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0.182
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0.083
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0
CMS-HCC-2020,Medicaid and Originally Disabled Interactions,Male,Continuing,Yes,Disabled,"Originally Disabled, Male",,Medicaid,Disabled,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_HCC85,Disabled & Congestive Heart Failure (HCC 85),Disabled,HCC85,0.279
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_PRESSURE_ULCER,Disabled & Pressure Ulcer (HCCs 157-159),Disabled,"HCC157, HCC158, HCC159",0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_PRESSURE_ULCER,Disabled & Pressure Ulcer (HCCs 157-159),Disabled,"HCC157, HCC158, HCC159",0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_PRESSURE_ULCER,Disabled & Pressure Ulcer (HCCs 157-159),Disabled,"HCC157, HCC158, HCC159",0
CMS-HCC-2020,Disabled Interactions,,Continuing,,Disabled,DISABLED_PRESSURE_ULCER,Disabled & Pressure Ulcer (HCCs 157-159),Disabled,"HCC157, HCC158, HCC159",0
