PAYMENT_YEAR,DIAGNOSIS_CODE,CMS_HCC_ESRD_V21,CMS_HCC_ESRD_V24,CMS_HCC_V22,CMS_HCC_V24,RXHCC_V05,RXHCC_V08,CMS_HCC_ESRD_V21_FLAG,CMS_HCC_ESRD_V24_FLAG,CMS_HCC_V22_FLAG,CMS_HCC_V24_FLAG,RXHCC_V05_FLAG,RXHCC_V08_FLAG
2020,A0103,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A0104,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A0105,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A021,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A0222,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A0223,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A0224,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A065,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A072,6,,6,6,5,,Yes,,Yes,Yes,Yes,
2020,A202,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A207,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A212,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A221,115,,115,115,,,Yes,,Yes,Yes,No,
2020,A227,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A267,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A310,6,,6,6,5,,Yes,,Yes,Yes,Yes,
2020,A312,6,,6,6,5,,Yes,,Yes,Yes,Yes,
2020,A327,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A3681,85,,85,85,186,,Yes,,Yes,Yes,Yes,
2020,A3684,141,,,,,,Yes,,No,No,No,
2020,A391,23,,23,23,41,,Yes,,Yes,Yes,Yes,
2020,A392,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A393,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A394,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A3983,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A3984,39,,39,39,,,Yes,,Yes,Yes,No,
2020,A400,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A401,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A403,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A408,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A409,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4101,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4102,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A411,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A412,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A413,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A414,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4150,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4151,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4152,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4153,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4159,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4181,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A4189,2,,2,2,,,Yes,,Yes,Yes,No,
2020,A419,2,,2,2,,,Yes,,Yes,Yes,No,
