hcc_code,model_version,chronic_flag
1,CMS-HCC-V24,1
10,CMS-HCC-V24,1
100,CMS-HCC-V24,1
103,CMS-HCC-V24,1
104,CMS-HCC-V24,1
106,CMS-HCC-V24,1
108,CMS-HCC-V24,1
11,CMS-HCC-V24,1
110,CMS-HCC-V24,1
111,CMS-HCC-V24,1
112,CMS-HCC-V24,1
114,CMS-HCC-V24,1
115,CMS-HCC-V24,1
12,CMS-HCC-V24,1
122,CMS-HCC-V24,1
136,CMS-HCC-V24,1
137,CMS-HCC-V24,1
138,CMS-HCC-V24,1
157,CMS-HCC-V24,1
158,CMS-HCC-V24,1
159,CMS-HCC-V24,1
161,CMS-HCC-V24,1
166,CMS-HCC-V24,1
167,CMS-HCC-V24,1
169,CMS-HCC-V24,1
17,CMS-HCC-V24,1
170,CMS-HCC-V24,1
18,CMS-HCC-V24,1
186,CMS-HCC-V24,1
19,CMS-HCC-V24,1
2,CMS-HCC-V24,1
22,CMS-HCC-V24,1
23,CMS-HCC-V24,1
27,CMS-HCC-V24,1
28,CMS-HCC-V24,1
29,CMS-HCC-V24,1
40,CMS-HCC-V24,1
46,CMS-HCC-V24,1
47,CMS-HCC-V24,1
48,CMS-HCC-V24,1
52,CMS-HCC-V24,1
54,CMS-HCC-V24,1
55,CMS-HCC-V24,1
56,CMS-HCC-V24,1
57,CMS-HCC-V24,1
58,CMS-HCC-V24,1
59,CMS-HCC-V24,1
6,CMS-HCC-V24,1
60,CMS-HCC-V24,1
70,CMS-HCC-V24,1
71,CMS-HCC-V24,1
72,CMS-HCC-V24,1
74,CMS-HCC-V24,1
75,CMS-HCC-V24,1
76,CMS-HCC-V24,1
77,CMS-HCC-V24,1
78,CMS-HCC-V24,1
79,CMS-HCC-V24,1
8,CMS-HCC-V24,1
85,CMS-HCC-V24,1
86,CMS-HCC-V24,1
87,CMS-HCC-V24,1
88,CMS-HCC-V24,1
9,CMS-HCC-V24,1
96,CMS-HCC-V24,1
99,CMS-HCC-V24,1
1,CMS-HCC-V28,1
107,CMS-HCC-V28,1
108,CMS-HCC-V28,1
109,CMS-HCC-V28,1
115,CMS-HCC-V28,1
127,CMS-HCC-V28,1
135,CMS-HCC-V28,1
136,CMS-HCC-V28,1
137,CMS-HCC-V28,1
138,CMS-HCC-V28,1
139,CMS-HCC-V28,1
151,CMS-HCC-V28,1
152,CMS-HCC-V28,1
153,CMS-HCC-V28,1
154,CMS-HCC-V28,1
155,CMS-HCC-V28,1
17,CMS-HCC-V28,1
18,CMS-HCC-V28,1
180,CMS-HCC-V28,1
181,CMS-HCC-V28,1
182,CMS-HCC-V28,1
19,CMS-HCC-V28,1
191,CMS-HCC-V28,1
192,CMS-HCC-V28,1
197,CMS-HCC-V28,1
198,CMS-HCC-V28,1
199,CMS-HCC-V28,1
2,CMS-HCC-V28,1
20,CMS-HCC-V28,1
200,CMS-HCC-V28,1
201,CMS-HCC-V28,1
21,CMS-HCC-V28,1
211,CMS-HCC-V28,1
22,CMS-HCC-V28,1
222,CMS-HCC-V28,1
224,CMS-HCC-V28,1
225,CMS-HCC-V28,1
226,CMS-HCC-V28,1
227,CMS-HCC-V28,1
228,CMS-HCC-V28,1
229,CMS-HCC-V28,1
23,CMS-HCC-V28,1
238,CMS-HCC-V28,1
248,CMS-HCC-V28,1
249,CMS-HCC-V28,1
253,CMS-HCC-V28,1
254,CMS-HCC-V28,1
263,CMS-HCC-V28,1
264,CMS-HCC-V28,1
277,CMS-HCC-V28,1
279,CMS-HCC-V28,1
280,CMS-HCC-V28,1
282,CMS-HCC-V28,1
283,CMS-HCC-V28,1
298,CMS-HCC-V28,1
326,CMS-HCC-V28,1
327,CMS-HCC-V28,1
328,CMS-HCC-V28,1
329,CMS-HCC-V28,1
36,CMS-HCC-V28,1
37,CMS-HCC-V28,1
379,CMS-HCC-V28,1
38,CMS-HCC-V28,1
380,CMS-HCC-V28,1
381,CMS-HCC-V28,1
382,CMS-HCC-V28,1
383,CMS-HCC-V28,1
397,CMS-HCC-V28,1
398,CMS-HCC-V28,1
399,CMS-HCC-V28,1
401,CMS-HCC-V28,1
402,CMS-HCC-V28,1
48,CMS-HCC-V28,1
6,CMS-HCC-V28,1
62,CMS-HCC-V28,1
63,CMS-HCC-V28,1
64,CMS-HCC-V28,1
65,CMS-HCC-V28,1
68,CMS-HCC-V28,1
93,CMS-HCC-V28,1
94,CMS-HCC-V28,1
